lex,english,german,portuguese
argument,to_the_point,auf_den_punkt_gebracht,a_ponto
argument,at_least,zumindest,ao_menos
argument,only,nur,apenas
argument,until,bis,até
argument,even,gerade,até_mesmo
argument,including,einschließlich,incluindo
argument,inclusive,inklusive,inclusive
argument,even,gerade,mesmo
argument,no_more_than,nicht_mehr_als,não_mais_que
argument,not_even,nicht_einmal,nem_mesmo
argument,at_the_very_least,zumindest,no_mínimo
argument,the_only,die_einzige,o_único
argument,the_only,die_einzige,a_única
argument,at_least,zumindest,pelo_menos
argument,at_the_very_least,zumindest,quando_menos
argument,at_best,bestenfalls,quando_muito
argument,even,gerade,sequer
argument,alone,allein,só
argument,only,nur,somente
argument,besides_that,außerdem,a_par_disso
argument,moreover,außerdem,ademais
argument,after_all,immerhin,afinal
argument,yet,dennoch,ainda
argument,beyond,jenseits,além
argument,moreover,außerdem,aliás
argument,e,e,e
argument,and_not,und_nicht,e_não
argument,in_short,kurz_gesagt,em_suma
argument,at_last,endlich,enfim
argument,but_also,aber_auch,mas_também
argument,let_alone,geschweige_denn,muito_menos
argument,not_only,nicht_nur,não_só
argument,nor,auch_nicht,nem
argument,or,oder,ou_mesmo
argument,by_the_way,uebrigens,por_sinal
argument,moreover,außerdem,também
argument,neither,auch_nicht,tampouco
argument,thus,somit,assim
argument,therefore,daher,com_isso
argument,as_a_consequence,infolgedessen,como_consequência
argument,consequently,folglich,consequentemente
argument,so_that,so_dass,de_modo_que
argument,this_way,auf_diese_weise,deste_modo
argument,as_a_result,infolgedessen,em_decorrência
argument,then,dann,então
argument,logically,logischerweise,logicamente
argument,therefore,daher,logo
argument,that_way,auf_diese_weise,nesse_sentido
argument,for,fuer,pois
argument,because_of,wegen,por_causa
argument,therefore,daher,por_conseguinte
argument,for_this_reason,aus_diesem_grund,por_essa_razão
argument,therefore,daher,por_isso
argument,therefore,daher,portanto
argument,therefore,daher,sendo_assim
argument,or,oder,ou
argument,or,oder,ou_então
argument,or,oder,ou_mesmo
argument,nor,auch_nicht,nem
argument,as_if,als_ob,como_se
argument,on_the_one_hand,einerseits,de_um_lado
argument,on_the_other_hand,andererseits,por_outro_lado
argument,more_than,mehr_als,mais_que
argument,unless,es_sei_denn,menos_que
argument,not_only,nicht_nur,não_só
argument,so_much,so_sehr,tanto
argument,how_much,wie_viel,quanto
argument,so,so,tão
argument,as,wie,como
argument,provided,bereitgestellt,desde_que
argument,otherwise,anderweitig,do_contrário
argument,in_place,an_ort_und_stelle,em_lugar
argument,instead,stattdessen,em_vez
argument,while,waehrend,enquanto
argument,in_this_case,in_diesem_fall,no_caso
argument,when,wann,quando
argument,yourself,selbst,se
argument,in_case,fuer_den_fall,se_acaso
argument,downside,nachteil,senão
argument,somehow,irgendwie,de_certa_forma
argument,that_way,auf_diese_weise,desse_modo
argument,according_to,nach,em_função
argument,while,waehrend,enquanto
argument,that_is,das_heißt,isso_é
argument,since,da,já_que
argument,to_the_extent_that,insoweit_als,na_medida_que
argument,that_way,auf_diese_weise,nessa_direção
argument,in_order,in_der_reihenfolge,no_intuito
argument,in_the_same_vein,in_gleicher_weise,no_mesmo_sentido
argument,that_is,das_heißt,ou_seja
argument,for,fuer,pois
argument,because,denn,porque
argument,who,wer,que
argument,since,da,uma_vez_que
argument,so_much_so_that,so_sehr_dass,tanto_que
argument,since,da,visto_que
argument,although,obwohl,ainda_que
argument,backwards,rueckwaerts,ao_contrário
argument,despite,trotz,apesar_de
argument,conversely,andererseits,contrariamente
argument,yet,dennoch,contudo
argument,although,obwohl,embora
argument,meanwhile,in_der_zwischenzeit,entretanto
argument,otherwise,anderweitig,fora_isso
argument,but,aber,mas
argument,even_if,auch_wenn,mesmo_que
argument,nevertheless,trotzdem,não_obstante
argument,were_it_not_for_that,ohne_das_waere_es_nicht_so,não_fosse_isso
argument,however,jedoch,no_entanto
argument,for_this_purpose,zu_diesem_zweck,para_tanto
argument,on_the_contrary,im_gegenteil,pelo_contrário
argument,in_turn,wiederum,por_sua_vez
argument,but,aber,porém
argument,since,da,posto_que
argument,yet,dennoch,todavia
modalization,think,denken,achar
modalization,advise,beraten,aconselhar
modalization,believe,glauben,acreditar
modalization,apparent,offensichtlich,aparente
modalization,basic,grundlegend,básico
modalization,suffice,ausreichen,bastar
modalization,right,rechts,certo
modalization,clear-cut,klar_umrissen,claro
modalization,convenient,praktisch,conveniente
modalization,believe,glauben,crer
modalization,duty,pflicht,dever
modalization,difficult,schwierig,difícil
modalization,doubt,zweifel,dúvida
modalization,effective,effektiv,efetivo
modalization,expect,erwarten,esperar
modalization,evident,offensichtlich,evidente
modalization,exact,genau,exato
modalization,optional,optional,facultativo
modalization,speak,sprechen,falar
modalization,suit,klage,fato
modalization,fundamental,grundlegend,fundamental
modalization,imagine,sich_einbilden,imaginar
modalization,important,wichtig,importante
modalization,undoubted,zweifellos,indubitável
modalization,undeniable,unbestreitbar,inegável
modalization,fair,fair,justo
modalization,limit,limit,limitar
modalization,logical,logisch,lógico
modalization,natural,natuerlich,natural
modalization,necessary,notwendig,necessário
modalization,deny,leugnen,negar
modalization,mandatory,obligatorisch,obrigatório
modalization,obvious,offensichtlich,óbvio
modalization,opinion,meinung,parecer
modalization,think,denken,pensar
modalization,power,macht,poder
modalization,possible,moeglich,possível
modalization,need,bedarf,precisar
modalization,predominate,vorherrschen,predominar
modalization,presume,annehmen,presumir
modalization,search,suche,procurar
modalization,likely,wahrscheinlich,provável
modalization,can,dose,puder
modalization,real,wirklich,real
modalization,recommend,empfehlen,recomendar
modalization,sure,sicher,seguro
modalization,suppose,annehmen,supor
modalization,perhaps,vielleicht,talvez
modalization,has,hat,tem
modalization,having,habend,tendo
modalization,have,haben,ter
modalization,had,hatte,tinha
modalization,i_had,ich_hatte,tive
modalization,truth,wahrheit,verdade
modalization,decide,entscheiden,decidir
valoration,absolute,absolut,absoluto
valoration,any,irgendeine,algum
valoration,tall,hochgewachsen,alto
valoration,broad,breit,amplo
valoration,approximate,ungefaehr,aproximado
valoration,quite_a_lot,ziemlich_viel,bastante
valoration,good,gut,bem
valoration,good,gut,bom
valoration,emphatic,nachdruecklich,categórico
valoration,fence,zaun,cerca
valoration,complete,vollstaendig,completo
valoration,common,allgemein,comum
valoration,considerable,betraechtlich,considerável
valoration,constant,konstant,constante
valoration,final,endspiel,definitivo
valoration,too_much,zu_viel,demais
valoration,high,hoch,elevado
