lex,english,german,italian,spanish,portuguese
argument,to_the_point,auf_den_punkt_gebracht,al_punto,hasta_el_punto,a_ponto
argument,at_least,zumindest,come_minimo,como_mínimo,ao_menos
argument,only,nur,solo_che,solamente,apenas
argument,until,bis,fino_a,hasta,até
argument,even,gerade,regolare,empatado,até_mesmo
argument,including,einschließlich,compreso,con_detalle_de,incluindo
argument,inclusive,inklusive,comprensivo,integrador,inclusive
argument,even,gerade,regolare,empatado,mesmo
argument,no_more_than,nicht_mehr_als,non_più_di,no_más_de,não_mais_que
argument,not_even,nicht_einmal,nemmeno,ni_siquiera,nem_mesmo
argument,at_the_very_least,zumindest,per_lo_meno,por_lo_menos,no_mínimo
argument,the_only,die_einzige,l'unica,el_único,o_único
argument,the_only,die_einzige,l'unica,el_único,a_única
argument,at_least,zumindest,come_minimo,como_mínimo,pelo_menos
argument,at_the_very_least,zumindest,per_lo_meno,por_lo_menos,quando_menos
argument,at_best,bestenfalls,al_massimo,en_el_mejor_de_los_casos,quando_muito
argument,even,gerade,regolare,empatado,sequer
argument,alone,allein,singolarmente,solo,só
argument,only,nur,solo_che,solamente,somente
argument,besides_that,außerdem,a_parte_questo,aparte_de_eso,a_par_disso
argument,moreover,außerdem,oltretutto,por_otra_parte,ademais
argument,after_all,immerhin,del_resto,al_fin_y_al_cabo,afinal
argument,yet,dennoch,eppure,sin_embargo,ainda
argument,beyond,jenseits,oltre,más_allá,além
argument,moreover,außerdem,oltretutto,por_otra_parte,aliás
argument,e,e,e,e,e
argument,and_not,und_nicht,e_non,y_no,e_não
argument,in_short,kurz_gesagt,in_breve,en_resumen,em_suma
argument,at_last,endlich,infine,por_fin,enfim
argument,but_also,aber_auch,ma_anche,sino_también,mas_também
argument,let_alone,geschweige_denn,figuriamoci,por_no_hablar_de,muito_menos
argument,not_only,nicht_nur,non_solo,no_sólo,não_só
argument,nor,auch_nicht,né,ni,nem
argument,or,oder,ovvero,o,ou_mesmo
argument,by_the_way,uebrigens,comunque,por_cierto,por_sinal
argument,moreover,außerdem,oltretutto,por_otra_parte,também
argument,neither,auch_nicht,nessuno_dei_due,ninguno_de_los_dos,tampouco
argument,thus,somit,così,por_lo_tanto,assim
argument,therefore,daher,dunque,por_lo_tanto,com_isso
argument,as_a_consequence,infolgedessen,di_conseguenza,como_consecuencia,como_consequência
argument,consequently,folglich,conseguentemente,por_consiguiente,consequentemente
argument,so_that,so_dass,cosicché,para_que,de_modo_que
argument,this_way,auf_diese_weise,tal_modo,de_esta_manera,deste_modo
argument,as_a_result,infolgedessen,perciò,como_resultado,em_decorrência
argument,then,dann,poi,luego,então
argument,logically,logischerweise,logicamente,lógicamente,logicamente
argument,therefore,daher,dunque,por_lo_tanto,logo
argument,that_way,auf_diese_weise,tal_modo,de_esa_forma,nesse_sentido
argument,for,fuer,visto_che,a_favor_de,pois
argument,because_of,wegen,a_causa_di,a_causa_de,por_causa
argument,therefore,daher,dunque,por_lo_tanto,por_conseguinte
argument,for_this_reason,aus_diesem_grund,per_questo_motivo,por_este_motivo,por_essa_razão
argument,therefore,daher,dunque,por_lo_tanto,por_isso
argument,therefore,daher,dunque,por_lo_tanto,portanto
argument,therefore,daher,dunque,por_lo_tanto,sendo_assim
argument,or,oder,ovvero,o,ou
argument,or,oder,ovvero,o,ou_então
argument,or,oder,ovvero,o,ou_mesmo
argument,nor,auch_nicht,né,ni,nem
argument,as_if,als_ob,come_se,como_si,como_se
argument,on_the_one_hand,einerseits,da_un_lato,por_un_lado,de_um_lado
argument,on_the_other_hand,andererseits,d'altra_parte,por_otro_lado,por_outro_lado
argument,more_than,mehr_als,più_di,más_de,mais_que
argument,unless,es_sei_denn,a_meno_che,salvo_que,menos_que
argument,not_only,nicht_nur,non_solo,no_sólo,não_só
argument,so_much,so_sehr,tanto,tanto,tanto
argument,how_much,wie_viel,quanto,cuánto,quanto
argument,so,so,di_modo_che,por_lo_que,tão
argument,as,wie,in_qualità_di,a_medida_que,como
argument,provided,bereitgestellt,a_condizione_che,suministrado,desde_que
argument,otherwise,anderweitig,a_parte_ciò,de_lo_contrario,do_contrário
argument,in_place,an_ort_und_stelle,in_atto,en_su_sitio,em_lugar
argument,instead,stattdessen,invece,en_cambio,em_vez
argument,while,waehrend,lasso_di_tempo,si_bien,enquanto
argument,in_this_case,in_diesem_fall,in_questo_caso,en_este_caso,no_caso
argument,when,wann,quando,cuándo,quando
argument,yourself,selbst,voi_stessi,usted_mismo,se
argument,in_case,fuer_den_fall,nel_caso,por_si,se_acaso
argument,downside,nachteil,rovescio_della_medaglia,aspecto_negativo,senão
argument,somehow,irgendwie,in_qualche_modo,de_alguna_manera,de_certa_forma
argument,that_way,auf_diese_weise,tal_modo,de_esa_forma,desse_modo
argument,according_to,nach,in_base_a,en_base_a,em_função
argument,while,waehrend,lasso_di_tempo,si_bien,enquanto
argument,that_is,das_heißt,cioè,es_decir,isso_é
argument,since,da,poiché,puesto_que,já_que
argument,to_the_extent_that,insoweit_als,nella_misura_in_cui,en_la_medida_en_que,na_medida_que
argument,that_way,auf_diese_weise,tal_modo,de_esa_forma,nessa_direção
argument,in_order,in_der_reihenfolge,nell'ordine,en_orden,no_intuito
argument,in_the_same_vein,in_gleicher_weise,nella_stessa_ottica,del_mismo_modo,no_mesmo_sentido
argument,that_is,das_heißt,cioè,es_decir,ou_seja
argument,for,fuer,visto_che,a_favor_de,pois
argument,because,denn,perché,porque,porque
argument,who,wer,che,quién,que
argument,since,da,poiché,puesto_que,uma_vez_que
argument,so_much_so_that,so_sehr_dass,tanto_che,tanto_es_así_que,tanto_que
argument,since,da,poiché,puesto_que,visto_que
argument,although,obwohl,sebbene,aunque,ainda_que
argument,backwards,rueckwaerts,all'indietro,al_revés,ao_contrário
argument,despite,trotz,malgrado,a_pesar_de,apesar_de
argument,conversely,andererseits,invece,a_la_inversa,contrariamente
argument,yet,dennoch,eppure,sin_embargo,contudo
argument,although,obwohl,sebbene,aunque,embora
argument,meanwhile,in_der_zwischenzeit,nel_frattempo,entretanto,entretanto
argument,otherwise,anderweitig,a_parte_ciò,de_lo_contrario,fora_isso
argument,but,aber,ma,sin_embargo,mas
argument,even_if,auch_wenn,anche_se,aunque,mesmo_que
argument,nevertheless,trotzdem,ciononostante,con_todo_y_eso,não_obstante
argument,were_it_not_for_that,ohne_das_waere_es_nicht_so,se_non_fosse_stato_per_questo,si_no_fuera_por_eso,não_fosse_isso
argument,however,jedoch,in_qualunque_modo,no_obstante,no_entanto
