lang,lex,words
por,argument,em_funcao afinal so ainda_que e e_nao como como_consequencia em_decorrencia como_se sequer quando_muito enfim pelo_menos ao_contrario porque por_causa a_par_disso alem mas mas_tambem por_sinal consequentemente contrariamente apesar_de senao portanto por_conseguinte pois para_tanto por_essa_razao contudo uma_vez_que no_entanto quanto se_acaso incluindo inclusive no_intuito em_lugar em_suma em_vez no_mesmo_sentido no_caso no_minimo por_sua_vez muito_menos logicamente entretanto mais_que tampouco nao_obstante nao_mais_que nem nem_mesmo nao_so somente pelo_contrario de_um_lado por_outro_lado ou ou_entao ao_menos do_contrario desde_que ja_que tao de_certa_forma tanto tanto_que de_modo_que isso_e fora_isso nessa_direcao entao a_unica por_isso assim na_medida_que a_ponto menos_que ate nao_fosse_isso quando enquanto que ainda se
por,modalization,aconselhar aparente basico acreditar puder claro conveniente decidir negar dificil duvida dever efetivo evidente exato esperar justo fundamental tinha tem ter crer tendo tive imaginar importante provavel limitar logico obrigatorio natural necessario precisar obvio parecer facultativo talvez possivel poder predominar presumir real recomendar certo procurar falar bastar fato supor seguro achar verdade inegavel indubitavel
por,pressuposition,reconhecer admitir ja esclarecer aguentar antes gabar continuar verificar iniciar compreender corrigir atual demonstrar detectar descobrir aturar desculpar sentir prever esquecer conseguir adivinhar escutar ignorar comecar interromper saber deixar ouvir olhar atentar perder momento constatar notar agora observar perceber recordar enxergar lembrar retirar reparar ver pressentir desde parar tolerar tratar entender desvendar revelar ainda
por,sentiment,abominar admirar afligir agitar alarmar surpreender enervar apaziguar apreciar ambicionar pasmar atazanar azucrinar recear menosprezar enfeiticar entediar incomodar alegrar prezar consolar confundir constranger contemplar contentar contrariar cobicar acovardar aporrinhar deslumbrar enganar encantar iludir depreciar deprimir desesperar desprezar detestar desapontar desestimular desencantar desiludir desinteressar desgostar desorientar descontentar distrair conturbar envergonhar encorajar curtir entreter entusiasmar estimar exaltar exasperar empolgar execrar enamorar fascinar temer perdoar espantar frustar apoquentar descontrolar grilar amolar alucinar hostilizar chocar odiar assombrar magoar idolatrar impressionar endividar indignar enfurecer inibir intimidar intrigar irar irritar lastimar decepcionar gostar amar malquerer maravilhar chatear lamentar obcecar estranhar ofender superestimar abalar louvar aquietar enraivecer sensibilizar tranquilizar rejeitar repelir arrepender recalcar repudiar respeitar transtornar revoltar entristecer escandalizar assustar seduzir sossegar comover abater acalmar melindrar estimular aticar sublimar reprimir simpatizar apavorar aterrorizar emocionar tolerar atormentar traumatizar subestimar inquietar reverenciar querer debilitar desejar preocupar adorar
por,valoration,absoluto quase muito algum aproximado melhor grande amplo comum completo consideravel constante valer categorico sempre mal exagero excessivo exclusivo expresso extremo cerca definitivo franco franqueza frequente pleno geral bem otimo feliz elevado enorme imenso incrivel menos leve pouco maioria mero minoria mais bom normal ocasional pena prazer pobre eventual praticamente preciso preferir principal particular bastante raro razoavel relativo rico rigor escasso significativo simples minimo pequeno tao tanto pesar especial estrito excelente alto demais total tremenda tipico lamentavel usual pouquissimo generalizado pior
eng,argument,according_to after_all alone although and and_not as as_a_consequence as_a_result as_if as_well at_best at_last at_least backwards because because_of besides_that beyond but but_also by_the_way consequently conversely despite downside either even_though for for_this_purpose for_this_reason fully hence however how_much in_case including inclusive in_order in_place in_short instead in_the_same_vein in_this_case in_this_way in_turn let_alone logically meanwhile more_than neither nevertheless no_more_than nor not_even not_only only on_the_contrary on_the_one_hand on_the_other_hand or or_else other_than_that otherwise provided since so somehow so_much so_much_so_that so_that that_is that_is_why that_way then the_only therefore thus to_the_extent_that to_the_point unless until were_it_not_for_that when while who yet whether
eng,modalization,advise apparent basic believe can clear-cut convenient decide deny difficult doubt duty effective evident exact expect fair fundamental had has have have_faith_in having i_had imagine important likely limit logical mandatory natural necessary need obvious opinion optional perhaps possible power predominate presume real recommend right search speak suffice suit suppose sure think truth undeniable undoubted
eng,pressuposition,acknowledge admit already clarify bear beforehand brag carry_on check commence comprehend correct current demonstrate detect discover endure excuse feel foresee forget get guess hear ignore initiate interrupt knowledge let listen look look_out miss moment note notice now observe perceive recall regard remember remove repair see sense since stop tolerate treat understand unravel unveil yet
eng,sentiment,abhor admire afflict agitate alarm amaze annoy appease appreciate aspire astound atazanar azucrinar be_afraid belittle bewitch bore bother celebrate cherish comfort confuse constrain contemplate content contradict covet coward crowd dazzle deceive delight delude depreciate depress despair despise detest disappoint discourage disenchant disillusion disinterest dislike disorientate displease distract disturb embarrass encourage enjoy entertain enthuse estimate exalt exasperate excite execute fall_in_love fascinate fear forgive frighten_away frustrate fuss get_out_of_hand grill grind hallucinate harass hatch hate haunt hurt idolize impress indebtedness indign infuriate inhibit intimidate intrigue irar irritate lament let_down like love malquerer marvel mind mourn obsess odd offend overestimate overwhelm praise quiet rage raise_awareness reassure reject repel repent repress repudiate respect revere revolt sadden scandalize scare seduce settle_down shake shoot_down soothe sore stimulate stir sublimate suppress sympathize terrify terrorize thrill tolerate torment traumatize underestimate upset venerate want weaken wish worry worship
eng,valoration,absolute almost a_lot any approximate better big broad common complete considerable constant count emphatic ever evil exaggeration excessive exclusive expressed extreme fence final frank frankness frequent full general good great happy high huge immense incredible less light little majority mere minority more nice normal occasional pity pleasure poor possible practically precise prefer principal private quite_a_lot rare reasonable relative rich rigour scarce significant simple slightest small so so_much sorrow special strict superb tall too_much total tremendous typical unfortunate usual very_little widespread worst
