lex,english,german,portuguese
argument,according_to,nach,em_função
argument,after_all,immerhin,afinal
argument,alone,allein,só
argument,although,obwohl,ainda_que
argument,and,und,e
argument,and_not,und_nicht,e_não
argument,as,wie,como
argument,as_a_consequence,infolgedessen,como_consequência
argument,as_a_result,als_folge_von,em_decorrência
argument,as_if,als_ob,como_se
argument,as_well,wenigstens,sequer
argument,at_best,bestenfalls,quando_muito
argument,at_last,endlich,enfim
argument,at_least,jedenfalls,pelo_menos
argument,backwards,rueckwaerts,ao_contrário
argument,because,denn,porque
argument,because_of,wegen,por_causa
argument,besides_that,außerdem,a_par_disso
argument,beyond,jenseits,além
argument,but,aber,mas
argument,but_also,aber_auch,mas_também
argument,by_the_way,uebrigens,por_sinal
argument,consequently,folglich,consequentemente
argument,conversely,umgekehrt,contrariamente
argument,despite,trotz,apesar_de
argument,downside,nachteil,senão
argument,either,deswegen,portanto
argument,even,eben,mesmo
argument,even_if,auch_wenn,mesmo_que
argument,even_though,deshalb,por_conseguinte
argument,for,fuer,pois
argument,for_this_purpose,zu_diesem_zweck,para_tanto
argument,for_this_reason,aus_diesem_grund,por_essa_razão
argument,fully,doch,contudo
argument,hence,seit,uma_vez_que
argument,however,jedoch,no_entanto
argument,how_much,wie_viel,quanto
argument,in_case,fuer_den_fall,se_acaso
argument,including,einschließlich,incluindo
argument,inclusive,inklusive,inclusive
argument,in_order,in_der_reihenfolge,no_intuito
argument,in_other_words,seit_dem,posto_que
argument,in_place,an_ort_und_stelle,em_lugar
argument,in_short,kurz_gesagt,em_suma
argument,instead,stattdessen,em_vez
argument,in_the_same_vein,in_gleicher_weise,no_mesmo_sentido
argument,in_this_case,in_diesem_fall,no_caso
argument,in_this_way,mindestens,no_mínimo
argument,in_turn,wiederum,por_sua_vez
argument,just,darum,sendo_assim
argument,let_alone,geschweige_denn,muito_menos
argument,logically,logischerweise,logicamente
argument,meanwhile,in_der_zwischenzeit,entretanto
argument,more_than,mehr_als,mais_que
argument,neither,weder,tampouco
argument,nevertheless,trotzdem,não_obstante
argument,no_more_than,nicht_mehr_als,não_mais_que
argument,none_the_less,zwar,embora
argument,nor,auch_nicht,nem
argument,not_even,nicht_einmal,nem_mesmo
argument,not_only,nicht_nur,não_só
argument,only,lediglich,somente
argument,on_the_contrary,im_gegenteil,pelo_contrário
argument,on_the_one_hand,einerseits,de_um_lado
argument,on_the_other_hand,andererseits,por_outro_lado
argument,or,entweder,ou
argument,or_else,oder_doch,ou_então
argument,other_than_that,zumindest,ao_menos
argument,otherwise,anderweitig,do_contrário
argument,provided,bereitgestellt,desde_que
argument,since,da,já_que
argument,so,so,tão
argument,somehow,irgendwie,de_certa_forma
argument,so_much,so_sehr,tanto
argument,so_much_so_that,so_sehr_dass,tanto_que
argument,so_that,so_dass,de_modo_que
argument,such,oder,ou_mesmo
argument,that_is,das_heißt,isso_é
argument,that_is_why,ansonsten,fora_isso
argument,that_way,auf_diese_art_und_weise,nessa_direção
argument,then,dann,então
argument,the_only,der_einzige,a_única
argument,therefore,auf_grund_von,por_isso
argument,this_way,auf_diese_weise,deste_modo
argument,thus,somit,assim
argument,to_the_extent_that,insoweit_als,na_medida_que
argument,to_the_point,auf_den_punkt_gebracht,a_ponto
